,airline_sentiment,tweet_coord,nearest_city
2718,0,"[29.98384194, -95.33664018]",Aldine
2735,1,"[40.64993239, -73.78249589]",Springfield Gardens
2757,2,"[49.73717309, -96.67646776]",Winnipeg
2765,0,"[29.98454639, -95.33856899]",Aldine
2778,0,"[41.9653255, -87.87535719]",Franklin Park
2785,0,"[37.78736562, -122.40865161]",San Francisco
2819,2,"[33.63992689, -84.44705534]",East Point
2831,0,"[33.64314381, -84.44252134]",East Point
2855,0,"[42.37525611, -71.24042938]",Waltham
2896,2,"[43.68346133, -79.61394084]",Etobicoke
2900,2,"[45.58977875, -122.59182952]",Orchards
2917,0,"[28.34834331, -81.48581918]",Kissimmee
2919,1,"[25.07815796, 55.13798672]",Dubai
2925,0,"[45.58986727, -122.59182577]",Orchards
2929,0,"[37.6202411, -122.3883092]",Millbrae
2936,1,"[25.0779704, 55.13808289]",Dubai
2942,0,"[25.07772121, 55.13822432]",Dubai
2956,1,"[30.15481071, -95.43911291]",Conroe
2963,0,"[25.0776918, 55.13824067]",Dubai
2995,2,"[29.98445184, -95.33224657]",Aldine
3031,0,"[37.62025528, -122.38832698]",Millbrae
3046,0,"[40.62387603, -74.30164717]",Rahway
3092,1,"[37.78194753, -122.43412918]",San Francisco
3100,0,"[37.62068265, -122.38816957]",Millbrae
3109,2,"[40.7868699, -111.9790833]",Salt Lake City
3119,0,"[40.69758992, -74.25047478]",Union
3125,1,"[40.7697595, -111.974937]",West Valley City
3133,2,"[33.82063563, -116.50768141]",Palm Springs
3141,0,"[37.78508121, -122.41114577]",San Francisco
3147,1,"[40.71288929, -74.16612474]",Newark
3156,0,"[40.68612449, -74.18465897]",Elizabeth
3165,0,"[40.69522398, -74.1760931]",Newark
3169,1,"[37.6205514, -122.3867929]",Millbrae
3170,0,"[40.69482181, -74.17458032]",Newark
3172,0,"[37.6209902, -122.3867265]",Millbrae
3181,0,"[37.6208766, -122.3867929]",Millbrae
3185,0,"[40.6867848, -74.18351089]",Elizabeth
3196,1,"[34.06143413, -118.39787418]",Beverly Hills
3211,1,"[38.21327338, -85.76378195]",Louisville
3213,0,"[38.94549594, -77.45193731]",Oak Hill
3218,2,"[40.77395906, -73.8746932]",Jackson Heights
3231,0,"[37.63404103, -122.40313084]",San Bruno
3249,0,"[39.99869322, -82.88004055]",Gahanna
3258,0,"[37.99311597, -84.52114659]",Lexington
3260,0,"[37.99311597, -84.52114659]",Lexington
3266,0,"[39.99838284, -82.88068344]",Gahanna
3303,0,"[35.23908248, -120.64078264]",San Luis Obispo
3304,0,"[35.23896405, -120.64046203]",San Luis Obispo
3340,2,"[40.71517211, -74.01453422]",New York City
3354,0,"[37.61907, -122.38607]",Millbrae
3370,0,"[37.61821986, -122.38745399]",Millbrae
3385,2,"[35.8924655, -84.19243176]",Farragut
3415,1,"[34.06979432, -117.57757056]",Rancho Cucamonga
3508,1,"[13.71241507, 100.60468537]",Phra Pradaeng
3519,0,"[34.06978184, -117.57752166]",Rancho Cucamonga
3520,0,"[34.06071437, -117.59814212]",Rancho Cucamonga
3542,1,"[1.3523078, 103.8637764]",Singapore
3562,0,"[38.78438914, -104.72749614]",Security-Widefield
3601,1,"[-33.87144962, 151.20821275]",Sydney
3603,0,"[41.97826134, -87.91247425]",Bensenville
3619,1,"[35.21498347, -80.96071981]",Charlotte
3635,1,"[40.74389886, -74.12493599]",Harrison
3637,2,"[29.98425706, -95.34407392]",Aldine
3652,0,"[40.03395098, -105.24950187]",Boulder
3673,1,"[41.98084325, -87.90939435]",Bensenville
3727,0,"[33.5089001, -112.02901444]",Phoenix
3733,0,"[38.94494175, -77.45367931]",Oak Hill
3736,0,"[41.98160558, -87.90496847]",Bensenville
3802,0,"[39.85823091, -104.67802376]",Brighton
3806,0,"[29.97877958, -95.33246329]",Aldine
3816,1,"[37.62006843, -122.38822083]",Millbrae
3832,0,"[29.98605741, -90.25189405]",Kenner
3875,0,"[33.75357228, -116.36206155]",Palm Desert
3904,0,"[37.94357634, -121.69565906]",Brentwood
3929,0,"[33.75538818, -116.36197002]",Palm Desert
3938,0,"[33.75536802, -116.36197857]",Palm Desert
3939,0,"[40.79971517, -74.25960937]",West Orange
3944,0,"[33.75539049, -116.36196163]",Palm Desert
3945,0,"[37.62063433, -122.38946673]",Millbrae
3949,0,"[33.75539049, -116.36196163]",Palm Desert
3953,0,"[27.98622757, -82.5414547]",Town 'n' Country
3956,0,"[33.75348859, -116.36209633]",Palm Desert
3957,0,"[33.75348859, -116.36209633]",Palm Desert
3959,2,"[40.54989958, -111.90404484]",South Jordan
3965,0,"[36.08651969, -115.13942786]",Paradise
3966,0,"[36.08652135, -115.13941959]",Paradise
3975,2,"[34.01019938, -117.42860927]",Rubidoux
3976,0,"[34.01352255, -117.44528297]",Glen Avon
3985,0,"[41.9797415, -87.9099894]",Bensenville
3997,0,"[40.84018945, -73.93737649]",Washington Heights
4025,2,"[38.88839871, -94.62041633]",Leawood
4029,1,"[42.04836196, -87.74130154]",Skokie
4031,0,"[40.69428253, -74.17219198]",Newark
4032,0,"[40.69429232, -74.17208436]",Newark
4082,0,"[37.61833841, -122.38389799]",Millbrae
4084,0,"[37.61859126, -122.38385699]",Millbrae
4119,0,"[45.58931882, -122.5959928]",Vancouver
4139,1,"[39.85861725, -104.67232956]",Brighton
4171,1,"[39.85861339, -104.67232131]",Brighton
4206,0,"[26.37852293, -81.78472152]",Bonita Springs
4208,2,"[39.85871934, -104.67371484]",Brighton
4220,0,"[40.70773298, -74.17069948]",Newark
4225,0,"[40.70749747, -74.17084113]",Newark
4287,2,"[40.35805521, -111.78241283]",American Fork
4300,0,"[37.62006843, -122.38822083]",Millbrae
4313,1,"[30.09009009, -95.64621813]",Cypress
4319,0,"[38.9058375, -77.00423674]","Washington, D.C."
4332,0,"[41.19758614, -73.76914167]",Ossining
4333,0,"[41.1974934, -73.76920486]",Ossining
4341,2,"[41.19747574, -73.76926201]",Ossining
4363,0,"[41.78546237, -87.7430551]",Cicero
4365,0,"[42.88502249, -85.52894527]",Forest Hills
4420,0,"[38.30097379, -122.30180037]",Napa
4445,0,"[35.84808282, -78.66572751]",West Raleigh
4477,2,"[42.3667769, -71.0170733]",Chelsea
4482,0,"[39.87778809, -75.23663363]",Drexel Hill
4555,1,"[39.64617884, -94.31618144]",Liberty
4560,2,"[37.6177248, -122.3913514]",Millbrae
4564,0,"[37.6170841, -122.3877223]",Millbrae
4593,1,"[41.52066893, -81.21118788]",Mentor
4629,2,"[39.50503682, -119.77382751]",Sparks
4630,0,"[32.73154946, -117.19636508]",San Diego
4683,0,"[42.3427148, -71.5504243]",Marlborough
4684,0,"[32.7156489, -117.1556388]",San Diego
4695,2,"[33.43403712, -111.99678364]",Tempe Junction
4716,0,"[33.64079948, -84.4358346]",East Point
4729,2,"[32.85744983, -97.03548311]",Euless
4787,2,"[34.00646846, -118.48131246]",Santa Monica
4806,2,"[40.76352814, -111.89191896]",Salt Lake City
4826,0,"[41.79410567, -87.74243312]",Cicero
4891,2,"[33.51750182, -101.90914558]",Lubbock
4901,2,"[29.65283375, -95.275749]",Houston
4910,1,"[40.91509493, -81.4367726]",North Canton
4916,0,"[32.73284288, -117.19634507]",San Diego
4920,0,"[40.91497406, -81.43686526]",North Canton
4924,2,"[42.58417604, -83.1064707]",Troy
4934,1,"[42.58399752, -83.10630667]",Troy
4935,1,"[39.87875827, -75.23722854]",Drexel Hill
4970,0,"[30.27027027, -97.74064527]",Austin
4974,2,"[33.4338494, -111.9963312]",Tempe Junction
4976,0,"[33.00605781, -96.76519155]",Addison
4977,0,"[41.72810364, -71.43406677]",Warwick
4980,2,"[34.7300769, -92.219814]",North Little Rock
4992,1,"[41.77838296, -87.7409109]",Burbank
4993,0,"[38.84884095, -77.04207298]","Washington, D.C."
5022,2,"[40.72845228, -80.08224442]",Cranberry Township
5035,0,"[36.12665696, -86.66953068]",Nashville
5058,0,"[41.65451582, -70.61064187]",Fairhaven
5061,0,"[39.87638268, -75.23929034]",Drexel Hill
5093,0,"[39.73217408, -105.0050626]",Denver
5112,0,"[39.1848041, -76.6787131]",Ferndale
5113,1,"[28.44752379, -81.46716587]",Oak Ridge
5117,0,"[39.1780768, -76.670155]",Ferndale
5127,0,"[39.1766101, -76.6700606]",Ferndale
5128,0,"[39.1766101, -76.6700606]",Ferndale
5129,0,"[39.1765188, -76.6696894]",Ferndale
5131,1,"[39.1766716, -76.6694354]",Ferndale
5132,0,"[42.19881665, -83.3859395]",Romulus
5133,0,"[39.1766628, -76.6694238]",Ferndale
5148,0,"[39.1766573, -76.669424]",Ferndale
5160,0,"[28.43278708, -81.46990923]",Oak Ridge
5193,0,"[36.15093569, -115.27959887]",Spring Valley
5196,0,"[39.17692138, -76.66929304]",Ferndale
5210,0,"[39.1799072, -76.6704455]",Ferndale
5214,1,"[39.1798687, -76.6707032]",Ferndale
5219,0,"[39.1799094, -76.6709767]",Ferndale
5280,1,"[29.6526846, -95.2787367]",Houston
5289,0,"[26.52778866, -81.75533052]",San Carlos Park
5305,2,"[38.90385896, -76.51625101]",Parole
5333,1,"[30.26196639, -97.75945775]",Austin
5373,0,"[41.81477378, -80.93644744]",Ashtabula
5374,2,"[33.6839241, -117.8607358]",Santa Ana
5468,2,"[30.30630631, -97.71394697]",Austin
5485,2,"[40.77512287, -73.86982237]",Jackson Heights
5496,0,"[41.30091858, -95.89873244]",Council Bluffs
5497,0,"[41.30204773, -95.9002533]",Council Bluffs
5532,1,"[35.12084166, -89.84738331]",Germantown
5548,0,"[35.9807446, -115.0846183]",Henderson
5565,1,"[40.2376266, -74.9171435]",Levittown
5571,2,"[41.78959656, -87.74028015]",Cicero
5587,2,"[38.73434659, -90.35501265]",Overland
5612,0,"[40.731704, -73.1724805]",Islip
5616,0,"[41.93001697, -72.68496357]",Windsor
5629,0,"[41.93015938, -72.68522399]",Windsor
5636,0,"[33.93454129, -118.40270098]",El Segundo
5675,0,"[42.313473, -87.83530047]",North Chicago
5688,0,"[33.1973379, -96.7573509]",Frisco
5695,1,"[26.08232307, -80.16234879]",Dania Beach
5712,2,"[33.67698231, -117.8647932]",Costa Mesa
5713,0,"[33.18882771, -96.64036423]",Allen
5741,0,"[40.774588, -73.8708903]",Jackson Heights
5753,0,"[37.78915629, -122.4148408]",San Francisco
5761,0,"[36.08029523, -115.1466466]",Paradise
5762,1,"[35.0557688, -78.9702049]",Hope Mills
5763,0,"[32.8405223, -96.8149248]",Dallas
5775,1,"[32.80223908, -117.2312804]",San Diego
5796,0,"[39.29345234, -94.71996208]",Gladstone
5819,2,"[36.0931536, -86.6973554]",Brentwood
5822,0,"[36.1293776, -86.6699252]",Nashville
5848,0,"[30.20650347, -97.74889927]",Austin
5881,2,"[34.0658388, -117.5711653]",Rancho Cucamonga
5883,1,"[39.28859449, -76.61832385]",Baltimore
5893,1,"[41.24222981, -77.02647239]",Williamsport
5904,1,"[30.20654541, -97.74890436]",Austin
5911,0,"[29.98473682, -90.25978334]",Kenner
5924,0,"[39.29372784, -94.71998281]",Gladstone
5948,0,"[39.86311565, -104.67610845]",Brighton
5972,2,"[33.05776114, -96.78169517]",Frisco
6046,2,"[28.43585235, -81.30356273]",Meadow Woods
6050,2,"[32.96225554, -96.80070994]",Addison
6082,0,"[33.94729153, -118.40186744]",El Segundo
6083,0,"[33.94729537, -118.40196951]",El Segundo
6089,0,"[39.17709903, -76.67124539]",Ferndale
6114,2,"[36.898315, -76.204491]",Elizabeth City
6123,2,"[29.65275101, -95.27596615]",Houston
6176,0,"[35.8271843, -87.43714049]",Dickson
6183,1,"[27.9344812, -82.47401175]",Tampa
6192,1,"[44.8741191, -93.22830677]",Richfield
6218,2,"[38.97681463, -76.50266928]",Annapolis
6226,1,"[40.4871427, -112.011264]",Herriman
6237,2,"[30.43823709, -97.76632883]",Brushy Creek
6242,0,"[36.22640559, -86.82373437]",Nashville
6252,0,"[25.7661538, -80.2517994]",Coral Gables
6269,0,"[38.34274662, -122.32611925]",Napa
6345,1,"[41.28597403, -72.44456912]",Waterford
6363,0,"[36.11159761, -86.7844525]",Nashville
6365,0,"[40.71035967, -74.15721568]",Newark
6399,2,"[39.73167173, -86.3559619]",Plainfield
6405,2,"[36.14488928, -86.68739667]",Nashville
6419,0,"[29.65350715, -95.26679505]",Friendswood
6454,0,"[33.42067535, -111.93155126]",Tempe Junction
6477,1,"[36.14487986, -86.68740641]",Nashville
6482,0,"[40.65954723, -74.16986421]",Mariners Harbor
6483,0,"[40.65958823, -74.16987822]",Mariners Harbor
6484,0,"[40.65951726, -74.16980326]",Mariners Harbor
6485,0,"[40.65947097, -74.16982402]",Mariners Harbor
6487,0,"[40.65957477, -74.17018971]",Mariners Harbor
6488,2,"[30.0554953, -95.1659332]",Atascocita
6499,2,"[36.0212589, -86.5447783]",La Vergne
6536,0,"[38.73693556, -90.35367062]",Overland
6543,2,"[38.98057249, -76.73463232]",Bowie
6545,2,"[35.99558298, -78.89974547]",Durham
6689,0,"[41.79493709, -71.48004413]",Johnston
6718,0,"[30.35571967, -87.27675562]",West Pensacola
6721,1,"[38.56979708, -75.1096009]",Salisbury
6739,1,"[21.05483165, -86.78164351]",Canc̼n
6809,1,"[40.70326657, -74.01106458]",New York City
6817,2,"[34.02763089, -118.49627894]",Santa Monica
6819,1,"[34.02761838, -118.49646336]",Santa Monica
6821,2,"[34.02764112, -118.49636416]",Santa Monica
6852,0,"[42.3658858, -71.01423374]",Chelsea
6866,1,"[33.8191302, -118.1455457]",Long Beach
6873,1,"[42.36005288, -71.06315559]",Boston
6918,1,"[40.76262466, -73.73946148]",Queens Village
6920,0,"[40.76262285, -73.7394313]",Queens Village
6930,2,"[41.21681145, -73.12508256]",City of Milford (balance)
7010,0,"[51.54381448, -0.00116722]",Canary Wharf
7048,0,"[34.09548421, -81.20955847]",Seven Oaks
7101,1,"[42.3427056, -71.5504108]",Marlborough
7112,2,"[33.78310211, -84.21250227]",Belvedere Park
7133,2,"[42.35829164, -71.06163025]",Boston
7141,2,"[26.37067479, -80.10215823]",Boca Raton
7176,2,"[41.06865736, -73.70398273]",White Plains
7184,1,"[40.64579177, -73.77555571]",Springfield Gardens
7187,0,"[41.06869526, -73.70402469]",White Plains
7203,1,"[40.6467516, -73.77465033]",Springfield Gardens
7204,0,"[40.64646872, -73.77594979]",Springfield Gardens
7239,0,"[26.0713458, -80.146874]",Dania Beach
7241,1,"[13.07761455, -59.60542973]",Bridgetown
7244,0,"[13.07787514, -59.6049865]",Bridgetown
7252,2,"[33.7008468, -118.0192094]",Huntington Beach
7265,1,"[40.64682076, -73.7823236]",Springfield Gardens
7266,0,"[40.64485766, -73.78737261]",Springfield Gardens
7273,0,"[42.36494288, -71.01451482]",Chelsea
7275,2,"[40.89343356, -74.29961359]",Wayne
7277,0,"[40.85036847, -74.42575912]",Parsippany
7280,0,"[40.775248, -74.48253909]",Morristown
7287,1,"[40.77844416, -73.87477197]",Jackson Heights
7302,0,"[40.64797296, -73.77939249]",Springfield Gardens
7308,0,"[40.64602261, -73.7762935]",Springfield Gardens
7361,1,"[40.61883222, -74.015404]",Dyker Heights
7364,0,"[40.61884429, -74.0153922]",Dyker Heights
7365,0,"[40.61878764, -74.01544319]",Dyker Heights
7367,0,"[40.61886457, -74.01535789]",Dyker Heights
7370,1,"[40.79874419, -73.82756667]",Whitestone
7371,0,"[40.6466862, -73.7769539]",Springfield Gardens
7416,0,"[42.40805407, -88.62699707]",Woodstock
7473,0,"[40.7740308, -73.8674526]",College Point
7482,2,"[4.69840554, -74.14134323]",Funza
7490,0,"[32.73346632, -117.20410937]",San Diego
7495,0,"[40.64646912, -73.79133606]",Springfield Gardens
7500,2,"[38.6485933, -121.11740707]",El Dorado Hills
7502,0,"[40.64646912, -73.79133606]",Springfield Gardens
7507,0,"[40.64646912, -73.79133606]",Springfield Gardens
7541,2,"[38.69255098, -121.58854512]",West Sacramento
7627,1,"[25.05152514, -77.46620117]",Nassau
7677,2,"[34.546788, -87.012305]",Decatur
7679,0,"[40.65275545, -73.79457024]",Springfield Gardens
7680,0,"[40.64779984, -73.78283404]",Springfield Gardens
7742,1,"[42.36726898, -71.01512871]",Chelsea
7750,0,"[18.43615031, -66.00573829]",Carolina
7760,2,"[40.67851205, -73.43465391]",East Massapequa
7791,2,"[41.05811177, -73.53637216]",Port Chester
7806,0,"[40.64573089, -73.77655727]",Springfield Gardens
7863,2,"[28.42301907, -81.29654204]",Meadow Woods
7898,0,"[40.64342444, -111.49392569]",Cottonwood Heights
7899,0,"[40.64339686, -111.49337274]",Cottonwood Heights
7909,1,"[40.88529232, -73.856635]",Wakefield
7911,0,"[40.88539964, -73.85658056]",Wakefield
7914,2,"[40.7171667, -73.96415608]",Long Island City
7918,1,"[40.71716644, -73.96426215]",Long Island City
7939,1,"[43.3230125, -73.64314219]",Queensbury
7946,1,"[33.8117407, -118.1628]",Long Beach
7957,2,"[26.07159064, -80.14770942]",Dania Beach
7967,0,"[40.64530946, -73.77617682]",Springfield Gardens
7972,0,"[40.64534568, -73.77609616]",Springfield Gardens
7973,0,"[40.64531687, -73.77617765]",Springfield Gardens
7974,0,"[40.64529157, -73.7761025]",Springfield Gardens
8029,1,"[37.40321679, -121.96988433]",Santa Clara
8093,1,"[38.91355311, -77.04169657]","Washington, D.C."
8158,2,"[40.79248745, -111.98778056]",North Salt Lake
8173,1,"[40.64638899, -73.78399051]",Springfield Gardens
8175,0,"[40.64656067, -73.78334045]",Springfield Gardens
8176,0,"[40.64656067, -73.78334045]",Springfield Gardens
